City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name,Current Description
119,Ayagoz,KZ,273.71,47.9714,80.4392,Gostinitsa Nur,
120,Tarko-Sale,RU,253.4,64.9225,77.785,Yubileynaya,
121,Strezhevoy,RU,261.15,60.7333,77.5889,Sibiryachka,
122,Turukhansk,RU,253.05,65.8167,87.9833,"ООО ""Туруханская пушнина""",
123,Zdvinsk,RU,272.27,54.7021,78.661,Hotel Siberia,
124,Talnakh,RU,248.26,69.4865,88.3972,Talnakh Hotel,
125,Chulym,RU,272.07,55.0997,80.9572,"""U Tat'yany""",
127,Norilsk,RU,248.41,69.3535,88.2027,NordHostel,
128,Yeniseysk,RU,272.67,58.4497,92.1703,"""Domino""",
130,Dudinka,RU,250.22,69.4058,86.1778,Hotel Viktoria,
131,Aktash,RU,263.94,50.3,87.7333,Goluboye Geyzernoye Ozero,
135,Hami,CN,287.78,42.8,93.45,Laoyutang Resort,
136,Khatanga,RU,253.83,71.9667,102.5,"Gostinitsa ""Zapolyar'ye""",
137,Motygino,RU,272.81,58.1831,94.7592,"Gostinitsa ""Uyut""",
138,Orlik,RU,258.83,52.5178,99.825,Gostevoy Dom Mini Gostinitsa,
140,Moron,AR,297.15,-34.6534,-58.6198,Hotel Morón,
141,Erzin,TR,286.48,36.9559,36.2,Artemis Otel,
144,Severobaykalsk,RU,264.18,55.65,109.3167,Hostel03RUS,
145,Zhigansk,RU,254.4,66.7697,123.3711,Gostinichnyy Kompleks Aylgy,
146,Tiksi,RU,256.28,71.6872,128.8694,Arktika,
148,Boguchany,RU,270.03,58.3814,97.4531,Uyut,
149,Terney,RU,275.21,45.0503,136.6092,"Hotel ""Ternay""",
150,Suntar,RU,256.33,62.1444,117.6319,Дом у Мамы,
151,Ayan,RU,263.66,56.45,138.1667,Gostinitsa,
152,Esso,RU,256.45,55.9333,158.7,Paramushir Tur,
154,Verkhnevilyuysk,RU,258.87,63.4453,120.3167,Gostinitsa Mila,
155,Pevek,RU,243.6,69.7008,170.3133,Severnoye Zoloto,
156,Nikolskoye,RU,278.15,59.7035,30.7861,Tourist House - Sablino,
159,Beringovskiy,RU,261.11,63.05,179.3167,Beringgorski,
160,Tura,IN,295.67,25.5198,90.2201,Hotel RIKMAN Continental,
165,Zeya,RU,271.49,53.75,127.2667,Kapital Inn,
166,Skovorodino,RU,271.42,53.9833,123.9167,Лесная Застава,
167,Deputatskiy,RU,255.51,69.3,139.9,Baza Otdykha,
168,Cherskiy,RU,250.22,68.75,161.3,Gostinitsa,
170,Anadyr,RU,263.15,64.75,177.4833,"Гостиница ""Анадырь""",
171,Kachug,RU,264.89,53.9606,105.8817,"The hotel ""Empire""",
172,Longyearbyen,SJ,273.15,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen",
